Date,IGV,IYR,IYT,SMH,VOX,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XRT
2018-01-03,0.012083725417439028,-0.0016142859815964996,0.00107617247089093,0.014048498943290104,-0.015840044877280218,0.006980165180600877,0.01486542492290946,0.005358171000695729,0.0053716786945547336,0.008306477826516787,-0.00035362942026403174,-0.007886904747085206,0.009522607179159023,0.004580954389531512,-0.0006521087489544855
2018-01-04,0.00774530716803338,-0.015782034781143033,0.0034763078035744137,0.005095531669803912,0.006409956622467645,0.008697133283872935,0.006017629734782803,0.009219808316612047,0.007290792676244934,0.0050425271528099554,0.002826715681502204,-0.008339016656609239,0.0014206591490779261,0.0032735178867484083,-0.005889422286474623
2018-01-05,0.01017264115776628,0.0010095469108867385,0.00478561133448383,0.00643035093855576,-0.002205800334189746,0.007985970863066665,-0.00039996842582251305,0.002819871164313751,0.0068518860031965695,0.010461833758284805,0.004400986573568699,-0.0003897581771791388,0.00848162452235328,0.00789088482725174,0.008712597780501692
2018-01-08,0.00557278390015508,0.005659376135094937,0.008043059026151005,0.006871543303670524,0.005834960579447077,0.0014308764737680567,0.005984453032136306,-0.0014090988066754412,0.00411403609288463,0.003763308983174611,0.00245624857246227,0.0093081330034479,-0.0036429206813228874,0.0011780495860957254,0.0041118807927797195
2018-01-09,-0.0001234645874265453,-0.01160458827454846,0.0019126653340972464,-0.009399773163605846,-0.00815617868322307,-0.001590180318454887,-0.002522326493728106,0.007724963050356278,0.006394865381138492,-0.002557882161592206,-0.0014027840481776836,-0.009892525144593413,0.011704208641330616,0.001961146141592008,-0.01063936725554931
2018-01-10,0.0,-0.012254521116860572,0.0009548779663691801,-0.013329598500134165,-0.009116173860679349,-0.006064280524907446,-0.001196930417312728,0.00835939551765886,-0.00012751077363175737,-0.003470291511865924,-0.0049253827603927755,-0.010976164801510062,-0.0017470499105196593,-0.0006860446905353566,0.007177944563408766
2018-01-11,0.009770880386610973,-0.0034738829335866778,0.023435996747857884,0.004724968994901413,0.009005434368810196,0.013040927779523454,0.0202877823301949,0.004844435745549769,0.01266950399147552,0.004073207270491679,-0.0014113593401730337,-0.003751712551473179,0.0043035827055216335,0.016138872916455518,0.024407022370295586
2018-01-12,0.010584709456114878,-0.008152511323491247,0.007626760885049845,0.005093374430308968,0.007388229830921963,0.0015787782417515212,0.009604323814590972,0.00893488498640852,0.009273145456885953,0.005854213198067883,0.00035311064200525897,-0.0057535474790552845,0.0076311207603269515,0.012840335493769886,0.011356582171317289
2018-01-16,-0.012849650770915674,0.0027252055533781776,-0.01382957573959925,0.0045815667909774,-0.009049492616196088,-0.011742601460351613,-0.012739100563570348,-0.00274088469757677,-0.009021460498698806,-0.0038992467951013687,0.004579127748494052,-0.002190902400930839,0.004940617793121884,-0.007166333491569014,-0.02156092048837545
2018-01-17,0.013878069695795617,0.007101214879660832,0.003155491464636016,0.029421058477609386,0.0021040543260782527,0.004618280236991902,0.008726946129646234,0.007518803766570226,0.005522748737699531,0.014914658593470222,0.011356666166396688,0.00616256835164538,0.009581201827581837,0.004783178544973404,0.010415656034488166
2018-01-18,0.002595929181050332,-0.009826420433038838,0.0005907755339204743,0.00733906841879074,-0.002880584841639238,-0.000635554808893319,-0.008203753014410326,-0.001362705005927224,-0.0053970954770997375,0.0017750317436979364,-0.002957837822714602,-0.006361943662720473,0.00022720307931027066,-0.0008591544454162457,0.0027454420166588413
2018-01-19,0.006789518938511382,0.00647548642865274,0.0036338280719855833,0.0009370070710870731,0.006634891258468285,0.006022876366941176,-0.0013085676300089667,0.007134290533091179,0.0028905155906334425,0.001919071945658682,0.011090150355772108,-0.0029961019390560275,0.0037384417213780527,0.008654556142825717,0.01838740524910617
2018-01-22,0.008230233025893189,0.00810047089054415,0.004499454053651983,0.009786231398758713,0.019320554381516197,-0.0023729769255317686,0.021372514541624567,0.008091794000326344,0.0,0.00968747689462963,0.007553510137409434,0.0013993705018512574,0.006536691733171337,0.01101854756253849,0.012550332866283574
2018-01-23,0.004208225380924172,0.01373567908282118,-0.001660727539416814,0.006471375438115017,-0.012181850284441973,-0.000158693813250883,-0.0015389034214080303,0.0010067269255664515,0.0005018848277494096,0.004372635821406634,-0.0032547702415676276,0.009542759125308565,-0.004842144241470103,0.008394242443183304,-0.0012276819447662056
2018-01-24,-0.005753505041686234,-0.0035429199443226702,-0.014524217671175007,-0.02048122417620708,0.004803205035747404,0.004268670404094678,-0.00269907282449037,0.006686949729147439,-0.0008784638194772353,-0.0077377965764494575,0.0020569279735441416,-0.006152783983684747,0.002930529245637354,0.0042631561148545015,-0.006984261707656378
2018-01-25,0.000416179462588753,-0.0019031276281009676,-0.015896030133369928,-0.016309778631615302,0.004997763670690249,0.006603769856316047,-0.007881713282040155,-0.002001475893417131,0.0010040056033447109,-0.0017603896126758732,0.0005134086670898118,0.015409169912448627,0.008516864000521368,-0.0017587843772967667,-0.0033037351844404502
2018-01-26,0.016862534864458028,0.0003808302747899878,0.010226593318113309,0.03133923880297054,0.007664400388267312,0.004378362498708465,0.005433351640141045,0.007318922631968653,0.011471309438905165,0.015731909007282944,0.004780983636763119,0.000588004284139617,0.02130955690969946,0.00977248985132058,0.010083339770519149
2018-01-29,-0.011821221318597065,-0.012905143410497219,-0.0011979025032802248,-0.0018545714518022724,-0.009183018495759518,-0.011455625019688415,-0.015209841204537538,-0.003985450451178663,-0.006717285999026571,-0.009146426634493414,-0.00392553515325155,-0.012817038473328535,-0.002734748314784516,-0.002755988420199113,-0.0016391208024324408
2018-01-30,-0.009689936836801588,-0.005415840911410044,-0.013624629745224805,-0.019780460611510158,-0.000542571409883122,-0.007286383367589299,-0.02037899232427272,-0.013063272563079674,-0.007894438942630711,-0.009084522212561895,-0.006691265432938373,0.0017845511936120417,-0.02125595850567873,-0.004980336998299426,-0.02260803604654864
2018-01-31,0.01635288811196053,0.01565145116715156,0.0005565783967851857,0.00839112686330619,0.0010848485956618055,0.0007946308543406895,0.0006679181502124889,0.002693518633547855,0.003014873718884777,0.007478461594971004,-0.004658757480639616,0.011032487279716537,-0.014312927198615995,-0.0032412554213810357,-0.009484852774648755
2018-02-01,-0.003178232378966363,-0.01681577015774751,-0.005631342565334083,-0.006121405133504753,0.00842542483252271,-0.013756031537224142,0.010234820776697715,0.009370774539474283,-0.0017577000161918843,0.0008762102021086804,-0.004332930980590926,-0.015797762391850864,0.0003405475322435878,-0.011193162188184424,-0.010431175610386468
2018-02-02,-0.020008191873893227,-0.010279559171956849,-0.021704398512108092,-0.028262612784360007,-0.021856779019283224,-0.026602955173576637,-0.04268607976957489,-0.02223053730927372,-0.020307499862440556,-0.030078433958362752,-0.01929225537728955,-0.007191803143407963,-0.01416997301957765,-0.00961354925229324,-0.026893720643690253
2018-02-05,-0.03146531861405766,-0.03270225732828462,-0.03056669318354958,-0.04613602389362517,-0.03581418372125692,-0.03895602450942429,-0.042859729507832366,-0.05172389209368609,-0.04645295245844149,-0.042716614382356355,-0.03697770862924781,-0.01657602815474387,-0.045320434908983284,-0.034296814475282024,-0.03284844380160288
2018-02-06,0.015948195739081145,0.003507272495945394,0.01632355394505149,0.036174993009271454,0.0023900003423309416,0.03215160461368585,0.007891759127268489,0.01812779116164058,0.018102371531737084,0.02832356143469207,0.010964691655036893,-0.014991214066533354,0.011017865784650825,0.025258938590976197,0.02866262226209314
2018-02-07,-0.0018343261722043275,-0.0039130442995056495,0.002791282980383,-0.02675596723368829,0.002497671169160568,-0.009032983177070901,-0.01686282924082724,0.0007040655995084101,0.0018450296300795593,-0.012901722184460663,-0.004371112786760498,-0.0047705321594122795,-0.0011918011231623123,-0.0030628006678066443,0.009884975818929378
2018-02-08,-0.04653753520963545,-0.029914201078612052,-0.03871171460068524,-0.040632867605431625,-0.03496171623622722,-0.03575177607846571,-0.03069905990630999,-0.04499604456076483,-0.039341827130744494,-0.042310751166018186,-0.02177647611679521,-0.01129006426616147,-0.03531687154815393,-0.040693764869344756,-0.02927680333142483
2018-02-09,0.02012067935358027,0.0205425113806046,-0.0015864253762544426,0.02580594931390845,0.0019942408792307724,0.017265432076637482,-0.0007498256625335116,0.018965000311922883,0.01076082421633767,0.024216370178003696,0.002050244100311318,0.02080796951051456,0.014106416381767817,0.006666688618666576,0.0069532025594316454
2018-02-12,0.015401651534966006,0.002997980983332424,0.015807665193113985,0.020957386350512384,0.0110715731807054,0.019997481095372607,0.016216713373011966,0.013991364767916122,0.015993864403874083,0.01778538592855016,0.01018819942806361,0.0075907207190843455,0.009334760505490933,0.013495630804565182,-0.0002237493861776446
2018-02-13,0.0061686732277306915,0.0075899485566005885,0.007463838861172814,-0.0020056828772571493,0.003355734247285478,-0.0025199834783234207,-0.004140576421494385,0.004265739658890405,0.0022641647299800408,0.002470948980513755,0.004596906892695145,0.004486005453476818,0.0007240466044485541,0.005172978096125892,0.004906539726830147
2018-02-14,0.018341301274418593,-0.0048730153698057594,0.009159159012337775,0.021059651961798265,0.002768561878943477,0.013367071088424843,0.014418460839764188,0.023489237339550446,0.01255873425277703,0.018189273505987116,-0.000550601745440782,-0.011253533341103449,0.011271299986614688,0.015838051834335492,0.018077719372691505
2018-02-15,0.02457198030205813,0.009856621228049886,0.007341154954951154,0.0125038661029146,0.022664738237687852,0.007440849624465058,-0.0024861795633521378,0.005528750069952002,0.014994647926259904,0.018905385984929482,0.016384837349363034,0.02197893325903111,0.011027243361139841,0.00887103999010921,0.011513084195645954
2018-02-16,-0.0018872294778738564,0.008428527199258498,-0.0036898963142778314,-0.002138133925048111,0.004494291243667942,-0.0036308698051459426,-0.0024926955648532424,-0.0013793052611347602,0.000259059924708469,-0.001487174350687821,0.003964378498520106,0.008817626157910265,0.007167512731214055,-0.004855100215560234,-0.0019455173691374746
