Date,IGV,IYR,IYT,SMH,VOX,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XRT
2018-01-02,31.01187515258789,64.20486450195312,44.19266891479492,46.74335479736328,83.28165435791016,25.99567222595215,25.74726104736328,23.88414192199707,66.25483703613281,29.872922897338867,45.31455993652344,20.132583618164062,72.72335052490234,46.275230407714844,40.645870208740234
2018-01-03,31.388887405395508,64.10130310058594,44.24025344848633,47.4046630859375,81.97286224365234,26.17776107788086,26.132863998413086,24.012460708618164,66.6116943359375,30.122095108032227,45.29853820800781,19.974424362182617,73.41917419433594,46.487701416015625,40.6193733215332
2018-01-04,31.63294792175293,63.09759521484375,44.39431381225586,47.64683151245117,82.49999237060547,26.40642547607422,26.29059600830078,24.234874725341797,67.09912109375,30.274370193481445,45.42676544189453,19.808549880981445,73.52355194091797,46.64012908935547,40.38085174560547
2018-01-05,31.95638084411621,63.16132736206055,44.607276916503906,47.95420455932617,82.3182144165039,26.61815071105957,26.28008270263672,24.30331039428711,67.56045532226562,30.592758178710938,45.62712860107422,19.800830841064453,74.1498031616211,47.00961685180664,40.73421096801758
2018-01-08,32.13496398925781,63.51979446411133,44.96750259399414,48.28485870361328,82.79994201660156,26.656265258789062,26.43782615661621,24.269088745117188,67.83897399902344,30.708105087280273,45.73933792114258,19.986000061035156,73.88017272949219,47.06502914428711,40.90205001831055
2018-01-09,32.13099670410156,62.78693389892578,45.053592681884766,47.8331184387207,82.12735748291016,26.613910675048828,26.371225357055664,24.457292556762695,68.27418518066406,30.629657745361328,45.67522048950195,19.789262771606445,74.74996185302734,47.15742111206055,40.46918487548828
2018-01-10,32.13099670410156,62.0222053527832,45.09663391113281,47.19975280761719,81.38207244873047,26.453004837036133,26.339679718017578,24.66259765625,68.2654800415039,30.523548126220703,45.4508056640625,19.573240280151367,74.6194839477539,47.12508010864258,40.76071548461914
2018-01-11,32.44648361206055,61.80712127685547,46.16600036621094,47.42329788208008,82.1182632446289,26.800235748291016,26.8795108795166,24.782363891601562,69.13587188720703,30.648130416870117,45.38670349121094,19.49994468688965,74.9413070678711,47.89179611206055,41.76780319213867
2018-01-12,32.791744232177734,61.3052864074707,46.51944351196289,47.66545867919922,82.72721862792969,26.842580795288086,27.138914108276367,25.004783630371094,69.77996063232422,30.82807731628418,45.402732849121094,19.388072967529297,75.515380859375,48.51070785522461,42.24484634399414
2018-01-16,32.373077392578125,61.47258377075195,45.88052749633789,47.884342193603516,81.9819564819336,26.52922248840332,26.795381546020508,24.936342239379883,69.15327453613281,30.708105087280273,45.611114501953125,19.34564208984375,75.88939666748047,48.164306640625,41.34375762939453
